id,task_id,transaction_id,agent_id,action,reasoning,memory_hits,similarity_scores,tokens_in,tokens_out,bedrock_model,latency_ms,reviewer_id,review_notes,evidence_s3_key,context_snapshot,created_at
0038127a-894e-4574-ab3d-f128ed290523,3ecf3ddd-44c7-4e8b-823d-1ff8f3a31582,9b50295a-3f01-4bc3-8dc1-753a64f1c4a3,DESKTOP-4PDKLKG,verdict_escalate,"The transaction has a risk score in the 0.30-0.60 range and has uncertain signals with non-zero error balances on both the originating and destination accounts, which matches the criteria for escalation.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 21:35:56.166885+00
007e6281-4e98-4db8-b1a5-6897d3311eb0,0b820631-63dc-4c0a-91e5-906cfc51dcb8,35995536-1059-42f0-acb8-6ff12a59caa6,DESKTOP-4PDKLKG,memory_recall,NULL,1,{0.24768861390076102},NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 21:35:33.027318+00
0163be7b-1923-44b8-9091-4841af858fb9,d7dd4624-54ae-4ea0-bd5d-da010d43209f,a5b3ecf9-921a-4fbe-9262-1493c6ce2eb4,DESKTOP-4PDKLKG,verdict_fraud,"The transaction has a high risk score of 0.674 and large error balances of over $296,000 for the originator and over $645,000 for the destination, indicating a likely fraudulent activity.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 18:11:12.696864+00
02fbdb41-4322-402a-96ba-b1fbfe65e74a,dd7fada6-f275-4037-8926-5a6179a2c657,26b80b93-3a05-4ca2-9144-837cc11fb0d1,DESKTOP-4PDKLKG,memory_recall,NULL,3,"{0.2697252460576991,0.2796808837417709,0.2835937693947228}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 18:11:25.963078+00
030036e8-b926-45dc-9e81-9fbc2190691a,f93a5532-b206-46b1-8a67-bfcc4921c8f3,14c445ed-72b5-49ee-9750-ce0c22d3c5c5,MSI,verdict_escalate,"The transaction has a risk score within the 0.30-0.60 range, and the error balance for the destination account is significantly high, suggesting uncertain signals that require further investigation.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-22 14:21:44.529286+00
038b678d-666f-4de0-a1d6-cae89605b107,f318d145-3879-4e50-bda1-93c75f071bb1,0f826fb6-d6bd-4180-86c0-86d90d679560,DESKTOP-4PDKLKG,verdict_fraud,"The transaction has a high risk score of 0.511 and a large error balance of -698,794.41 for the destination account, indicating a likely fraudulent activity.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 21:36:53.372373+00
059a1181-d30a-4fdb-bf14-4964d50e9f0e,6704a373-615f-436d-9b3d-144c2015a12d,4956a08b-36b3-4972-b0a8-8c498d5ed340,DESKTOP-4PDKLKG,verdict_escalate,"The transaction has a risk score within the 0.30-0.60 range and an uncertain signal with a non-zero error balance on the destination account, which matches the criteria for escalation.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 18:10:49.416489+00
084e1d75-4543-403f-9601-074d37febede,fcd4584f-9a45-4b02-88f1-06690b973a94,2b32137f-0d68-4ae3-8791-3ce74d7630c3,DESKTOP-4PDKLKG,bedrock_reasoning,"The transaction has a high risk score of 0.652 and large error balances of over $190,000 for the originator and over $283,000 for the destination, indicating a likely fraudulent activity.",NULL,NULL,506,78,anthropic.claude-3-haiku-20240307-v1:0,1000,NULL,NULL,NULL,NULL,2026-07-21 18:11:34.041337+00
0abd3522-1dd5-46f4-a075-59f786efe55b,96fe5b12-eab1-44b2-8347-cf574d919cbb,e8df688f-acc1-4669-a74c-40ec6dd91dda,DESKTOP-4PDKLKG,verdict_fraud,"The transaction has a low risk score of 0.123, which is below the fraud threshold, but the large error balances of over $136,000 for the originator and over $272,000 for the destination indicate a likely fraudulent activity.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 18:10:56.048332+00
0afe910a-a8f2-4263-bc96-09e1d5baf636,57548f53-3034-4c11-b94a-5b7726319194,d951abf0-6e6d-4f76-89e8-ebdaf17dc2d5,DESKTOP-4PDKLKG,bedrock_reasoning,"The transaction has a risk score in the 0.30-0.60 range and has uncertain signals with non-zero error balances on both the originating and destination accounts, matching the criteria for escalation.",NULL,NULL,504,77,anthropic.claude-3-haiku-20240307-v1:0,937,NULL,NULL,NULL,NULL,2026-07-21 21:36:14.080435+00
0edb3c7c-f291-4206-9283-de36e89cd6d9,73594625-47f1-4463-9cc0-2344eba12abc,d234c618-3b6f-4cb5-a907-952a689d8dd3,DESKTOP-4PDKLKG,mcp_query,customer_history_count=3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 21:36:21.621174+00
102572b3-6bdc-4ff5-917a-6f72caf4f1a6,24e10956-655a-4e74-a556-d3a33ff13a6f,bd5e520f-10e7-47ca-89ba-f19297719eb8,DESKTOP-4PDKLKG,verdict_fraud,"The transaction has a high risk score of 0.727, and the destination account has a large negative error balance of -3981106.33, indicating a potential balance wipe, which is a common fraud pattern.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2026-07-21 21:35:37.115435+00
